源岗位,目标岗位,转换依据,需补充能力
APP推广,产品经理,熟悉用户需求，了解产品逻辑，具备数据分析能力，具备用户增长思维,产品方法论; 需求分析能力; 原型设计能力
软件测试,产品经理,具备产品理解能力、质量把控能力，熟悉测试流程，了解产品管理,产品方法论; 需求分析能力; 商业思维
软件测试,Java,具备代码阅读能力、逻辑思维能力，了解系统功能，熟悉软件开发生命周期,Java编程深入学习; 后端开发框架; 数据库设计
实施工程师,售前工程师,均需理解工业系统架构，实施经验有助于方案设计；沟通能力已具备，熟悉客户需求,方案撰写能力; PPT演示技巧; 招投标流程知识
实施工程师,技术支持工程师,熟悉产品功能和客户问题，具备现场支持经验，了解系统配置和调试,技术支持流程; 知识库建设能力; 远程支持技巧
实施工程师,项目经理,具备项目交付经验，熟悉客户对接，了解项目全流程,项目管理方法论; 预算管理; 风险管控能力
技术支持工程师,实施工程师,熟悉产品功能和客户问题，具备现场支持经验,系统部署能力; 数据配置能力; 方案设计基础
技术支持工程师,售前工程师,熟悉产品功能，具备客户沟通能力，了解客户需求,方案撰写能力; 技术演示能力; 招投标知识
技术支持工程师,运维工程师,具备故障排查能力，熟悉系统运行，了解服务器环境,Linux系统管理; 自动化运维工具; 监控配置能力
售前工程师,实施工程师,熟悉系统架构，具备方案设计能力，了解客户需求,现场实施能力; 系统部署实操; 问题排查经验
售前工程师,项目经理,具备方案设计能力，熟悉客户需求，具备沟通协调能力,项目执行能力; 风险管控; 资源管理
售前工程师,技术支持工程师,熟悉产品功能，具备客户沟通能力，了解技术方案,技术支持流程; 故障排查技巧; 知识库建设
项目经理,售前工程师,具备客户沟通能力，了解项目全流程，能把握客户需求,技术方案撰写; 产品技术深度; 演示演讲能力
项目经理,实施工程师（高级）,具备项目管理能力，熟悉客户对接,技术方案设计; 系统部署能力; 技术深度
项目经理,运维工程师,具备项目管理经验、沟通协调能力，了解系统部署，熟悉服务器管理,Linux系统管理; 运维工具使用; 监控配置能力
运维工程师,实施工程师,具备系统管理能力、服务器部署经验，了解后端服务运行，熟悉Linux环境,实施流程熟悉; 客户对接能力; 现场调试经验
运维工程师,项目经理,具备项目交付经验、沟通协调能力，了解系统部署，熟悉项目流程,项目管理方法论; 资源协调能力; 客户关系管理
运维工程师,技术支持工程师,具备系统理解能力、故障排查经验，熟悉服务器环境，了解软件运行,技术支持流程; 客户沟通技巧; 知识库建设能力
技术支持工程师,软件测试,熟悉产品功能，具备故障排查能力，了解质量要求，具备客户反馈处理经验,测试用例设计方法; 测试工具使用; 缺陷管理流程
技术支持工程师,实施工程师,熟悉产品功能，具备现场支持经验，了解客户需求，具备沟通协调能力,实施流程熟悉; 系统部署能力; 现场调试经验
技术支持工程师,售前工程师,熟悉产品功能，具备客户沟通能力，了解技术方案，具备演示能力,方案撰写能力; PPT演示技巧; 招投标流程知识
软件测试,技术支持工程师,熟悉产品功能，具备故障排查能力，了解质量要求，具备问题分析能力,技术支持流程; 客户沟通技巧; 知识库建设能力
软件测试,Java,具备代码阅读能力、逻辑思维能力，了解软件开发生命周期，熟悉系统功能,Java编程深入学习; 后端开发框架; 数据库设计
软件测试,实施工程师,熟悉产品功能，具备质量把控能力，了解系统功能，具备问题分析能力,实施流程熟悉; 系统部署能力; 现场调试经验
实施工程师,技术支持工程师,熟悉产品功能，具备现场支持经验，了解客户需求，具备沟通协调能力,技术支持流程; 客户沟通技巧; 知识库建设能力
实施工程师,售前工程师,均需理解系统架构，实施经验有助于方案设计；沟通能力已具备，熟悉客户需求,方案撰写能力; PPT演示技巧; 招投标流程知识
实施工程师,软件测试,熟悉产品功能，具备质量把控能力，了解系统功能，具备问题分析能力,测试用例设计方法; 测试工具使用; 缺陷管理流程
售前工程师,技术支持工程师,熟悉产品功能，具备客户沟通能力，了解技术方案，具备演示能力,技术支持流程; 客户沟通技巧; 知识库建设能力
售前工程师,实施工程师,熟悉系统架构，具备方案设计能力，了解客户需求，具备沟通协调能力,现场实施能力; 系统部署实操; 问题排查经验
售前工程师,Java,具备技术理解能力，了解产品实现，熟悉技术方案，具备逻辑思维能力,Java编程深入学习; 后端开发框架; 代码编写能力
Java,技术支持工程师,具备系统理解能力，具备问题排查能力，熟悉产品功能，了解技术实现,技术支持流程; 客户沟通技巧; 知识库建设能力
Java,软件测试,具备代码阅读能力、逻辑思维能力，了解软件开发生命周期，熟悉系统功能,测试用例设计方法; 测试工具使用; 缺陷管理流程
Java,实施工程师,具备系统理解能力，具备问题排查能力，熟悉产品功能，了解技术实现,实施流程熟悉; 系统部署能力; 现场调试经验
测试工程师,软件测试,具备软件测试经验，熟悉测试流程，掌握测试工具，具备质量意识,软件测试深入; 自动化测试进阶; 性能测试进阶
测试工程师,Java,具备代码阅读能力、逻辑思维能力，了解软件开发生命周期，熟悉系统功能,Java编程深入学习; 后端开发框架; 数据库设计
测试工程师,前端开发,具备产品理解能力、逻辑思维能力，熟悉Web界面，了解用户体验,HTML/CSS/JavaScript学习; Vue/React框架; 前端工程化
软件测试,测试工程师,具备软件测试经验，熟悉测试流程，掌握测试工具，具备质量意识,测试策略制定; 测试平台搭建; 团队管理能力
软件测试,Java,具备代码阅读能力、逻辑思维能力，了解软件开发生命周期，熟悉系统功能,Java编程深入学习; 后端开发框架; 数据库设计
软件测试,前端开发,具备产品理解能力、逻辑思维能力，熟悉Web界面，了解用户体验,HTML/CSS/JavaScript学习; Vue/React框架; 前端工程化
硬件测试,测试工程师,具备测试经验，熟悉测试流程，掌握测试工具，具备质量意识,软件测试基础; 自动化测试基础; 性能测试基础
硬件测试,软件测试,具备质量意识，熟悉测试标准，了解产品质量控制流程，具备问题分析能力,软件测试流程; 测试工具使用; 缺陷管理流程
硬件测试,Java,具备系统理解能力，具备逻辑思维能力，了解系统功能,Java编程学习; 后端开发框架; 代码编写能力
Java,测试工程师,具备代码阅读能力、逻辑思维能力，了解软件开发生命周期，熟悉系统功能,测试用例设计方法; 测试工具使用; 缺陷管理流程
Java,软件测试,具备代码阅读能力、逻辑思维能力，了解软件开发生命周期，熟悉系统功能,测试用例设计方法; 测试工具使用; 缺陷管理流程
Java,前端开发,具备编程基础、逻辑思维能力，了解前后端交互，熟悉Web开发流程,HTML/CSS/JavaScript学习; Vue/React框架; 前端开发能力
前端开发,测试工程师,具备产品理解能力、逻辑思维能力，熟悉Web界面，了解用户体验,测试用例设计方法; 测试工具使用; 缺陷管理流程
前端开发,软件测试,具备产品理解能力、逻辑思维能力，熟悉Web界面，了解用户体验,测试用例设计方法; 测试工具使用; 缺陷管理流程
前端开发,Java,具备编程基础、逻辑思维能力，了解前后端交互，熟悉Web开发流程,Java语言深入学习; Spring Boot/Spring Cloud框架; 数据库设计
硬件测试,电子工程师,具备硬件知识基础，了解电路原理，熟悉测试仪器和调试方法,电路设计能力; PCB布局能力; EDA软件精通
硬件测试,质量工程师,具备质量意识，熟悉测试标准，了解产品质量控制流程,质量管理体系知识; 质量改进方法; 质量工具使用
硬件测试,技术支持工程师,熟悉产品功能，具备故障排查能力，了解产品硬件原理,技术支持流程; 客户沟通技巧; 知识库建设能力
电子工程师,硬件测试,具备硬件设计能力，了解电路原理，熟悉调试和验证方法,测试标准学习; 测试仪器使用; 测试用例设计
电子工程师,质量工程师,具备硬件知识，了解设计标准，熟悉产品质量要求,质量管理体系知识; 质量改进方法; 质量工具使用
电子工程师,产品经理,具备技术理解能力，了解产品实现，熟悉硬件设计流程,产品方法论; 需求分析能力; 商业思维
质量工程师,硬件测试,具备质量意识，熟悉测试标准，了解产品质量控制流程,测试仪器使用; 测试用例设计; 硬件调试经验
质量工程师,电子工程师,具备硬件知识，了解设计标准，熟悉产品质量要求,电路设计能力; PCB布局能力; EDA软件精通
质量工程师,技术支持工程师,具备产品理解能力，熟悉质量标准，了解产品功能,技术支持流程; 客户沟通技巧; 知识库建设能力
产品经理,电子工程师,具备产品思维，了解技术实现，熟悉硬件设计流程,电路设计能力; PCB布局能力; EDA软件精通
产品经理,硬件测试,具备产品理解能力，熟悉产品功能，了解质量要求,测试标准学习; 测试仪器使用; 测试用例设计
产品经理,质量工程师,具备产品思维，熟悉产品功能，了解质量要求,质量管理体系知识; 质量改进方法; 质量工具使用
技术支持工程师,硬件测试,熟悉产品功能，具备故障排查能力，了解产品硬件原理,测试标准学习; 测试仪器使用; 测试用例设计
技术支持工程师,质量工程师,熟悉产品功能，了解质量问题，具备客户反馈处理经验,质量管理体系知识; 质量改进方法; 质量工具使用
技术支持工程师,产品经理,熟悉产品功能，了解用户需求，具备客户沟通能力,产品方法论; 需求分析能力; 商业思维
科研人员,产品经理,具备科研思维，了解市场需求，具备数据分析能力，具备创新能力,产品方法论; 需求分析能力; 原型设计能力
科研人员,数据分析师,具备科研能力，了解数据分析方法，具备数据分析能力，具备创新能力,数据分析工具; 统计学深入; 机器学习基础
科研人员,Java,具备科研思维，了解技术实现，具备数据分析能力，具备创新能力,Java编程学习; 后端开发框架; 代码编写能力
产品经理,科研人员,具备产品思维，了解市场需求，具备数据分析能力，具备创新能力,科研方法; 文献调研; 实验设计
产品经理,数据分析师,具备数据分析基础，了解用户需求，具备逻辑思维能力，具备产品思维,SQL学习; Python学习; 数据分析深入
产品经理,Java,具备产品思维，了解技术实现，具备逻辑思维能力，具备产品思维,Java编程深入学习; 后端开发框架; 代码编写能力
Java,科研人员,具备技术基础，了解系统理解能力，具备逻辑思维能力，具备创新能力,科研方法; 文献调研; 实验设计
Java,数据分析师,具备编程基础，了解数据分析，具备逻辑思维能力，具备数据思维,SQL学习; Python学习; 数据分析深入
Java,产品经理,具备技术理解，了解产品逻辑，具备项目经验，具备逻辑思维能力,产品方法论; 需求分析能力; 原型设计能力
数据分析师,科研人员,具备数据分析能力，了解数据分析方法，具备逻辑思维能力，具备创新能力,科研方法; 文献调研; 实验设计
数据分析师,产品经理,具备数据分析能力，了解用户需求，具备逻辑思维能力，具备数据驱动意识,产品方法论; 需求分析能力; 原型设计能力
数据分析师,Java,具备数据分析能力，了解数据分析，具备逻辑思维能力，具备数据思维,Java编程学习; 后端开发框架; 代码编写能力
软件测试,科研人员,具备质量意识，了解产品功能，具备问题分析能力，具备创新能力,科研方法; 文献调研; 实验设计
软件测试,Java,具备代码阅读能力、逻辑思维能力，了解软件开发生命周期，熟悉系统功能,Java编程深入学习; 后端开发框架; 数据库设计
软件测试,数据分析师,具备数据分析能力，了解产品数据，具备逻辑思维能力，具备数据思维,SQL学习; Python学习; 数据分析深入
软件测试,Java,具备代码阅读能力、逻辑思维能力，了解软件开发生命周期，熟悉系统功能,Java编程深入学习; 后端开发框架; 数据库设计
软件测试,前端开发,具备产品理解能力、逻辑思维能力，熟悉Web界面，了解用户体验,HTML/CSS/JavaScript学习; Vue/React框架; 前端工程化
软件测试,产品经理,具备产品理解能力、质量把控能力，熟悉测试流程，了解产品管理,产品方法论; 需求分析能力; 商业思维
Java,软件测试,具备代码阅读能力、逻辑思维能力，了解软件开发生命周期，熟悉系统功能,测试用例设计方法; 测试工具使用; 缺陷管理流程
Java,产品经理,具备项目交付经验、沟通协调能力，了解技术实现，熟悉项目流程,产品方法论; 需求分析能力; 商业思维
Java,技术支持工程师,具备系统理解能力、问题排查能力，熟悉产品功能，了解技术实现,技术支持流程; 客户沟通技巧; 知识库建设能力
前端开发,软件测试,具备产品理解能力、逻辑思维能力，熟悉Web界面，了解用户体验,测试用例设计方法; 测试工具使用; 缺陷管理流程
前端开发,产品经理,具备产品理解能力、用户思维，熟悉产品开发流程，了解需求分析,产品方法论; 需求分析能力; 商业思维
前端开发,Java,具备编程基础、逻辑思维能力，了解前后端交互，熟悉Web开发流程,Java语言深入学习; Spring Boot/Spring Cloud框架; 数据库设计
产品经理,软件测试,具备产品理解能力、质量把控能力，熟悉测试流程，了解产品管理,测试用例设计方法; 测试工具使用; 缺陷管理流程
产品经理,Java,具备产品思维、逻辑思维能力，了解技术实现，熟悉产品流程,Java编程深入学习; 后端开发框架; 代码编写能力
产品经理,前端开发,具备产品思维、用户思维，熟悉产品开发流程，了解技术实现,HTML/CSS/JavaScript学习; Vue/React框架; 前端开发能力
技术支持工程师,软件测试,具备产品理解能力、故障排查能力，熟悉产品功能，了解质量要求,测试用例设计方法; 测试工具使用; 缺陷管理流程
技术支持工程师,产品经理,熟悉产品功能，了解用户需求，具备客户沟通能力,产品方法论; 需求分析能力; 商业思维
技术支持工程师,Java,具备系统理解能力、问题排查能力，熟悉产品功能，了解技术实现,Java编程学习; 后端开发框架; 代码编写能力
